GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-1-villavicencio-utec,pc,Libro,8,45,0,0,4,18,2,9,2,9
practica-calificada-1-villavicencio-utec,pc,Oferta,0,33,0,0,0,14,0,7,0,7
practica-calificada-1-villavicencio-utec,pc,Estudiante,0,46,0,0,0,19,0,10,0,10
practica-calificada-1-villavicencio-utec,pc,OliverVirtual,0,118,2,4,0,21,2,9,0,8
practica-calificada-1-villavicencio-utec,pc,Autor,0,23,0,0,0,10,0,5,0,5
practica-calificada-1-villavicencio-utec,pc,Main,3,9,0,0,1,3,1,2,1,2
practica-calificada-1-villavicencio-utec,pc,LibroCopia,7,6,0,0,3,3,2,1,2,1
practica-calificada-1-villavicencio-utec,pc1,OliverVirtual,17,118,6,4,2,21,5,9,1,8
practica-calificada-1-villavicencio-utec,pc1,Autor,0,9,0,0,0,4,0,1,0,1
practica-calificada-1-villavicencio-utec,pc1,Main,3,9,0,0,1,3,1,2,1,2
practica-calificada-1-villavicencio-utec,pc1,Oferta,12,0,0,0,5,0,1,0,1,0
practica-calificada-1-villavicencio-utec,pc1,LibroCopia,3,6,0,0,1,3,1,1,1,1
practica-calificada-1-villavicencio-utec,pc1,Estudiante,34,0,0,0,13,0,7,0,7,0
practica-calificada-1-villavicencio-utec,pc1,Libro,0,18,0,0,0,7,0,1,0,1
